Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
4/17/2025,17.71,16.9315,19.4343,14.459,639533
4/16/2025,18.33,16.725,19.4256,14.5075,619388
4/15/2025,18.36,16.4655,19.4229,14.5217,472946
4/14/2025,20.8,16.2205,19.4802,14.5172,578845
4/11/2025,23.76,15.872,18.778,14.5041,1348287
4/10/2025,24.16,15.3985,17.9736,14.3737,920325
4/9/2025,19.77,14.925,16.7772,14.2329,1796431
4/8/2025,21.84,14.6475,16.2553,14.2084,1003206
4/7/2025,19.06,14.3085,15.4292,14.0863,1121956
4/4/2025,17.46,14.102,14.6537,13.9926,1451725
4/3/2025,15.46,13.9345,14.183,13.9817,650363
4/2/2025,14.51,13.8875,13.5126,13.9671,558551
4/1/2025,14.44,13.8625,13.794,13.9588,645516
3/31/2025,14.2,13.8675,13.8317,13.9169,498606
3/28/2025,13.89,13.895,13.5879,13.8743,719263
3/27/2025,13.32,13.922,13.7428,13.8732,317207
3/26/2025,13.37,13.975,13.7704,13.9192,438673
3/25/2025,12.43,14.0195,14.4186,13.9208,228917
3/24/2025,12.95,14.099,14.3365,13.9265,477185
3/21/2025,12.81,14.087,14.4778,13.9168,437809
3/20/2025,13.58,14.089,13.8475,13.8626,557931
3/19/2025,13.14,14.0365,13.7992,13.8571,462934
3/18/2025,13.46,14.018,13.8632,13.8797,236536
3/17/2025,13.83,13.978,13.8629,13.8605,364338
3/14/2025,14.29,13.9515,14.24,13.8576,460291
3/13/2025,14.69,13.9015,14.4683,13.8164,725104
3/12/2025,14.22,13.838,14.5074,13.8135,620898
3/11/2025,15.06,13.803,14.3405,13.8125,552669
3/10/2025,14.93,13.7295,14.0397,13.7766,481657
3/7/2025,14.11,13.697,13.5851,13.7859,576963
3/6/2025,14.52,13.7205,14.0311,13.7931,704857
3/5/2025,14.01,13.7305,14.122,13.8156,802209
3/4/2025,14.54,13.7295,14.6309,13.7803,667422
3/3/2025,14.75,13.7055,14.1417,13.7235,597453
2/28/2025,14.43,13.665,13.9429,13.706,885832
2/27/2025,14.38,13.6355,13.9218,13.6978,561330
2/26/2025,14.26,13.595,13.9388,13.7359,603182
2/25/2025,14.02,13.575,13.661,13.6741,1333251
2/24/2025,12.71,13.577,13.6352,13.6753,432024
2/21/2025,12.85,13.6095,13.7796,13.6537,952690
2/20/2025,12.53,13.637,13.8028,13.6816,524481
2/19/2025,12.77,13.686,13.9893,13.7038,374356
2/18/2025,12.66,13.747,13.7804,13.6856,394364
2/14/2025,13.3,13.8545,13.6584,13.7242,708490
2/13/2025,13.29,13.921,14.2578,13.6759,497097
2/12/2025,13.42,13.9915,13.5132,13.6083,731246
2/11/2025,13.52,14.086,13.4925,13.614,379104
2/10/2025,13.59,14.1755,13.8919,13.6196,297433
2/7/2025,14.28,14.252,13.9201,13.6207,618817
2/6/2025,14.58,14.355,14.1521,13.7146,381285
2/5/2025,14.72,14.3865,13.5045,13.7863,802265
2/4/2025,13.99,14.3865,13.1835,13.8245,396185
2/3/2025,14.06,14.417,12.3848,13.7494,575102
1/31/2025,13.94,14.4635,12.5229,13.7461,578526
1/30/2025,13.84,14.5345,12.7199,13.7607,342392
1/29/2025,13.57,14.579,12.6605,13.7493,531277
1/28/2025,13.86,14.695,12.8446,13.7528,261999
1/27/2025,14.06,14.772,12.7594,13.7776,674978
1/24/2025,13.36,14.8345,12.8818,13.7934,333689
1/23/2025,13.4,14.917,12.7611,13.7819,351154
1/22/2025,13.51,14.989,13.4709,13.7848,324187
1/21/2025,13.99,15.0835,13.618,13.7822,395247
1/17/2025,14.81,15.05,13.5473,13.7838,453382
1/16/2025,14.63,14.9765,13.4722,13.8266,889658
1/15/2025,14.7,14.905,12.3413,13.7253,1137302
1/14/2025,15.31,14.833,12.6365,13.729,687037
1/13/2025,15.31,14.7235,12.9477,13.7447,826801
1/10/2025,15.12,14.57,12.607,13.7188,1013087
1/8/2025,16.34,14.441,12.5012,13.741,1351610
1/7/2025,15.21,14.226,12.3924,13.7437,785820
1/6/2025,14.72,14.054,12.4925,13.806,562158
1/3/2025,14.6,13.944,13.5415,13.8745,407465
1/2/2025,14.99,13.814,13.592,13.8691,353287
12/31/2024,15.36,13.6765,13.4984,13.8565,547591
12/30/2024,14.73,13.536,13.5039,13.844,415667
12/27/2024,15.89,13.4485,13.6186,13.8934,524499
12/26/2024,15.4,13.3165,13.5502,13.8711,309400
12/24/2024,15.31,13.2215,14.5103,13.8648,319015
12/23/2024,15.01,13.121,14.3402,13.8666,421486
12/20/2024,14.84,13.061,14.1174,13.8477,625661
12/19/2024,15.4,13.0565,13.6178,13.7938,1525138
12/18/2024,13.32,13.032,13.4331,13.7808,785672
12/17/2024,13.34,13.1045,13.7006,13.788,409259
12/16/2024,13.2,13.166,13.9257,13.9052,328274
12/13/2024,13.26,13.256,14.1794,14.0232,692288
12/12/2024,13.12,13.305,15.2073,14.005,717945
12/11/2024,12.24,13.357,15.3137,13.9925,599747
12/10/2024,12.54,13.4665,15.2855,14.0216,395469
12/9/2024,12.04,13.5375,15.4624,14.0339,495504
12/6/2024,11.77,13.6365,15.5561,14.0498,751150
12/5/2024,12.52,13.769,16.7049,14.1274,484030
12/4/2024,12,13.9335,15.9673,14.0444,494463
12/3/2024,12.24,14.299,16.7028,14.1415,385611
12/2/2024,12.55,14.675,17.4094,14.1471,534539
11/29/2024,12.98,15.079,17.321,14.1506,536454
11/27/2024,13.25,15.4495,17.554,14.1424,714887
11/26/2024,13.5,15.7555,17.725,14.1786,321637
11/25/2024,13.3,16.0245,16.6097,14.0674,898862
11/22/2024,13.81,16.297,16.8419,14.0845,478265
11/21/2024,14.75,16.5495,16.853,14.0915,468115
11/20/2024,14.91,16.772,16.8113,14.1108,308579
11/19/2024,14.77,17.016,16.7625,14.1104,400069
11/18/2024,14.57,17.238,17.0651,14.1224,477288
11/15/2024,15,17.459,16.8531,14.1306,619500
11/14/2024,14.24,17.6005,17.0923,14.2378,820758
11/13/2024,14.16,17.7715,15.9283,14.148,797991
11/12/2024,14.43,17.8875,15.7815,14.1359,670599
11/11/2024,13.96,18.04,15.9567,14.2497,375823
11/8/2024,14.02,18.2155,15.8587,14.282,862735
11/7/2024,14.42,18.429,15.7952,14.3026,971109
11/6/2024,15.81,18.6355,14.5293,14.1843,1396027
11/5/2024,19.31,18.718,14.4152,14.2974,667857
11/4/2024,19.76,18.57,13.4604,14.3368,701518
11/1/2024,20.63,18.368,13.034,14.3261,788925
10/31/2024,20.39,18.0215,13.0343,14.3432,565936
10/30/2024,19.37,17.6815,13.1943,14.3347,618066
10/29/2024,18.88,17.3555,13.3578,14.3211,559909
10/28/2024,18.75,17.0355,13.3011,14.3868,589415
10/25/2024,18.86,16.714,13.0408,14.4722,414341
10/24/2024,19.2,16.359,12.9805,14.497,465694
10/23/2024,19.79,16.0015,12.9304,14.5967,591952
10/22/2024,19.21,15.6065,13.109,14.5926,597201
10/21/2024,18.99,15.239,12.6568,14.6251,697465
10/18/2024,17.83,14.866,12.6358,14.6656,460538
10/17/2024,17.66,14.5695,12.2111,14.726,762385
10/16/2024,16.48,14.327,12.4505,14.8237,363104
10/15/2024,17.48,14.157,12.2769,14.9228,661882
10/14/2024,17.47,13.9465,12.2028,15.0523,402589
10/11/2024,18.29,13.7155,12.0076,15.1202,512184
10/10/2024,18.55,13.46,11.842,15.1866,676557
10/9/2024,17.46,13.207,11.9701,15.2877,565223
10/8/2024,16.35,13.0085,12.0823,15.4269,360334
10/7/2024,15.72,12.895,12.0742,15.4205,673123
10/4/2024,13.7,12.786,12.0052,15.3984,879107
10/3/2024,13.59,12.8135,11.8759,15.4684,699195
10/2/2024,12.85,12.8875,11.6785,15.4596,483118
10/1/2024,12.48,12.981,12.0669,15.4608,460190
9/30/2024,12.32,13.0865,12.6638,15.5165,400939
9/27/2024,11.76,13.173,12.6882,15.5713,378377
9/26/2024,12.05,13.2985,12.6131,15.5808,385843
9/25/2024,11.89,13.419,12.7217,15.7185,308280
9/24/2024,11.86,13.545,12.5012,15.7087,439293
9/23/2024,11.53,13.659,12.3531,15.8441,407088
9/20/2024,11.9,13.7925,12.5431,15.8521,467698
9/19/2024,12.81,13.939,12.4754,15.8445,707971
9/18/2024,13.08,14.0415,12.2537,15.8324,915453
9/17/2024,13.27,14.1055,12.1296,15.8264,451934
9/16/2024,12.85,14.1265,11.9592,15.8205,461723
9/13/2024,13.18,14.1525,13.2114,15.8254,440246
9/12/2024,13.49,14.202,13.1953,15.8237,555628
9/11/2024,13.49,14.23,13.2318,15.8265,419451
9/10/2024,14.08,14.308,13.149,15.8201,480673
9/9/2024,13.54,14.3565,13.7433,15.8132,311143
9/6/2024,14.25,14.411,13.3955,15.7786,735134
9/5/2024,15.07,14.4445,13.5634,15.8032,585684
9/4/2024,14.72,14.465,14.3059,15.8034,392315
9/3/2024,14.59,14.498,15.0157,15.7393,279043
8/30/2024,14.05,14.6325,16.127,15.6953,355333
8/29/2024,14.27,14.7285,16.2774,15.7497,224909
8/28/2024,14.46,14.721,16.481,15.7599,161437
8/27/2024,14.41,14.687,16.3367,15.7534,156150
8/26/2024,14.14,14.65,16.452,15.7513,152457
8/23/2024,14.2,14.606,16.5616,15.845,401789
8/22/2024,14.83,14.575,16.5859,15.8427,401826
8/21/2024,14.86,14.551,16.9323,15.8811,362977
8/20/2024,14.36,14.512,16.8621,15.8791,339282
8/19/2024,13.69,14.435,17.1012,15.8804,235142
8/16/2024,13.37,14.3915,17.1362,15.8851,329975
8/15/2024,14.17,14.3855,16.2611,15.7985,482523
8/14/2024,14.05,14.337,16.2926,15.8052,439310
8/13/2024,15.05,14.2785,16.4586,15.7967,381129
8/12/2024,15.05,14.168,16.6937,15.8539,374593
8/9/2024,14.63,14.044,16.1318,15.8045,299941
8/8/2024,14.92,13.91,16.3977,15.8496,403600
8/7/2024,15.48,13.7955,16.2019,15.8468,572761
8/6/2024,15.38,13.676,15.1532,15.8119,473618
8/5/2024,17.28,13.5715,13.5753,15.8253,738032
8/2/2024,15.97,13.3725,11.6457,15.7195,1066499
8/1/2024,14.12,13.2675,11.7659,15.7427,643430
7/31/2024,13.78,13.2915,11.864,15.731,535331
7/30/2024,13.67,13.339,12.6581,15.7303,269845
7/29/2024,13.26,13.424,14.3474,15.7814,225195
7/26/2024,13.58,13.488,14.1901,15.7764,299014
7/25/2024,14.35,13.4925,14.6636,15.7724,330444
7/24/2024,14.08,13.458,14.17,15.7406,440451
7/23/2024,12.82,13.406,14.15,15.7451,190146
7/22/2024,12.82,13.414,13.9745,15.7446,301529
7/19/2024,13.25,13.4315,14.6304,15.7657,324234
7/18/2024,13.2,13.4695,14.6864,15.7604,338800
7/17/2024,12.88,13.5125,15.2009,15.7567,322479
7/16/2024,12.84,13.588,14.9783,15.7332,386213
7/15/2024,12.57,13.7395,15.007,15.716,305755
7/12/2024,11.95,13.84,15.7602,15.7306,267439
7/11/2024,12.63,13.9245,15.467,15.6906,476711
7/10/2024,13.09,14.015,15.5732,15.6935,267737
7/9/2024,13.29,14.0595,16.4511,15.6933,234523
